run_id,experiment,metric,value,notes
20260405T160159Z,cs500_co50_k3,mean_conciseness,0.645000,"{""grid_index"": 0, ""chunk_size"": 500, ""chunk_overlap"": 50, ""top_k"": 3, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=66d98b08-c3e7-416c-9380-da7f37d1abc3"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.7625, ""relevance"": 0.7625, ""hallucination"": 0.7, ""conciseness"": 0.6}, ""easy"": {""correctness"": 0.5, ""relevance"": 0.475, ""hallucination"": 0.625, ""conciseness"": 0.7124999999999999}, ""hard"": {""correctness"": 0.975, ""relevance"": 0.95, ""hallucination"": 0.75, ""conciseness"": 0.6}}}"
20260405T160159Z,cs500_co50_k3,mean_correctness,0.700000,"{""grid_index"": 0, ""chunk_size"": 500, ""chunk_overlap"": 50, ""top_k"": 3, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=66d98b08-c3e7-416c-9380-da7f37d1abc3"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.7625, ""relevance"": 0.7625, ""hallucination"": 0.7, ""conciseness"": 0.6}, ""easy"": {""correctness"": 0.5, ""relevance"": 0.475, ""hallucination"": 0.625, ""conciseness"": 0.7124999999999999}, ""hard"": {""correctness"": 0.975, ""relevance"": 0.95, ""hallucination"": 0.75, ""conciseness"": 0.6}}}"
20260405T160159Z,cs500_co50_k3,mean_hallucination,0.680000,"{""grid_index"": 0, ""chunk_size"": 500, ""chunk_overlap"": 50, ""top_k"": 3, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=66d98b08-c3e7-416c-9380-da7f37d1abc3"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.7625, ""relevance"": 0.7625, ""hallucination"": 0.7, ""conciseness"": 0.6}, ""easy"": {""correctness"": 0.5, ""relevance"": 0.475, ""hallucination"": 0.625, ""conciseness"": 0.7124999999999999}, ""hard"": {""correctness"": 0.975, ""relevance"": 0.95, ""hallucination"": 0.75, ""conciseness"": 0.6}}}"
20260405T160159Z,cs500_co50_k3,mean_relevance,0.685000,"{""grid_index"": 0, ""chunk_size"": 500, ""chunk_overlap"": 50, ""top_k"": 3, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=66d98b08-c3e7-416c-9380-da7f37d1abc3"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.7625, ""relevance"": 0.7625, ""hallucination"": 0.7, ""conciseness"": 0.6}, ""easy"": {""correctness"": 0.5, ""relevance"": 0.475, ""hallucination"": 0.625, ""conciseness"": 0.7124999999999999}, ""hard"": {""correctness"": 0.975, ""relevance"": 0.95, ""hallucination"": 0.75, ""conciseness"": 0.6}}}"
20260405T160159Z,cs500_co100_k5,mean_conciseness,0.660000,"{""grid_index"": 1, ""chunk_size"": 500, ""chunk_overlap"": 100, ""top_k"": 5, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=5f1c3225-3605-45c9-8399-12fba801f617"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.8125, ""relevance"": 0.7125, ""hallucination"": 0.95, ""conciseness"": 0.575}, ""easy"": {""correctness"": 0.6625, ""relevance"": 0.55, ""hallucination"": 0.6, ""conciseness"": 0.7999999999999999}, ""hard"": {""correctness"": 0.8999999999999999, ""relevance"": 0.8999999999999999, ""hallucination"": 0.7, ""conciseness"": 0.5499999999999999}}}"
20260405T160159Z,cs500_co100_k5,mean_correctness,0.770000,"{""grid_index"": 1, ""chunk_size"": 500, ""chunk_overlap"": 100, ""top_k"": 5, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=5f1c3225-3605-45c9-8399-12fba801f617"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.8125, ""relevance"": 0.7125, ""hallucination"": 0.95, ""conciseness"": 0.575}, ""easy"": {""correctness"": 0.6625, ""relevance"": 0.55, ""hallucination"": 0.6, ""conciseness"": 0.7999999999999999}, ""hard"": {""correctness"": 0.8999999999999999, ""relevance"": 0.8999999999999999, ""hallucination"": 0.7, ""conciseness"": 0.5499999999999999}}}"
20260405T160159Z,cs500_co100_k5,mean_hallucination,0.760000,"{""grid_index"": 1, ""chunk_size"": 500, ""chunk_overlap"": 100, ""top_k"": 5, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=5f1c3225-3605-45c9-8399-12fba801f617"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.8125, ""relevance"": 0.7125, ""hallucination"": 0.95, ""conciseness"": 0.575}, ""easy"": {""correctness"": 0.6625, ""relevance"": 0.55, ""hallucination"": 0.6, ""conciseness"": 0.7999999999999999}, ""hard"": {""correctness"": 0.8999999999999999, ""relevance"": 0.8999999999999999, ""hallucination"": 0.7, ""conciseness"": 0.5499999999999999}}}"
20260405T160159Z,cs500_co100_k5,mean_relevance,0.685000,"{""grid_index"": 1, ""chunk_size"": 500, ""chunk_overlap"": 100, ""top_k"": 5, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=5f1c3225-3605-45c9-8399-12fba801f617"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.8125, ""relevance"": 0.7125, ""hallucination"": 0.95, ""conciseness"": 0.575}, ""easy"": {""correctness"": 0.6625, ""relevance"": 0.55, ""hallucination"": 0.6, ""conciseness"": 0.7999999999999999}, ""hard"": {""correctness"": 0.8999999999999999, ""relevance"": 0.8999999999999999, ""hallucination"": 0.7, ""conciseness"": 0.5499999999999999}}}"
20260405T160159Z,cs800_co100_k4,mean_conciseness,0.695000,"{""grid_index"": 2, ""chunk_size"": 800, ""chunk_overlap"": 100, ""top_k"": 4, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=384a0e72-b853-4129-af7a-b21d5130529f"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.825, ""relevance"": 0.5625, ""hallucination"": 0.825, ""conciseness"": 0.6999999999999998}, ""easy"": {""correctness"": 0.725, ""relevance"": 0.6, ""hallucination"": 0.575, ""conciseness"": 0.725}, ""hard"": {""correctness"": 0.925, ""relevance"": 0.8999999999999999, ""hallucination"": 0.75, ""conciseness"": 0.625}}}"
20260405T160159Z,cs800_co100_k4,mean_correctness,0.805000,"{""grid_index"": 2, ""chunk_size"": 800, ""chunk_overlap"": 100, ""top_k"": 4, ""provider"": ""ollama"", ""langsmith_url"": ""https://eu.smith.langchain.com/o/050cf493-ec9e-4b24-9a5c-3fc00eb2f91d/datasets/4749af9f-046e-4a1c-b1a2-6869dc7911d1/compare?selectedSessions=384a0e72-b853-4129-af7a-b21d5130529f"", ""mean_by_difficulty"": {""medium"": {""correctness"": 0.825, ""relevance"": 0.5625, ""hallucination"": 0.825, ""conciseness"": 0.6999999999999998}, ""easy"": {""correctness"": 0.725, ""relevance"": 0.6, ""hallucination"": 0.575, ""conciseness"": 0.725}, ""hard"": {""correctness"": 0.925, ""relevance"": 0.8999999999999999, ""hallucination"": 0.75, ""conciseness"": 0.625}}}"
